time	group	distance	strain
1	0	Control	415.928653017168	AJ
2	0	Control	465.473376577508	AJ
3	0	Control	733.806247122369	AJ
4	0	Control	510.576258713686	AJ
5	0	Control	519.393160274142	AJ
6	0	Control	757.259748032492	AJ
7	5	Control	569.13743089838	AJ
8	5	Control	310.24081480902	AJ
9	5	Control	396.972072215971	AJ
10	5	Control	433.150704485006	AJ
11	5	Control	683.612269615919	AJ
12	5	Control	553.972074058605	AJ
13	10	Control	560.115717589108	AJ
14	10	Control	516.602407391768	AJ
15	10	Control	416.623829786889	AJ
16	10	Control	768.036970520462	AJ
17	10	Control	574.677571734386	AJ
18	10	Control	205.007426505554	AJ
19	15	Control	605.203385234553	AJ
20	15	Control	429.08128884081	AJ
21	15	Control	339.826444101973	AJ
22	15	Control	467.303762801256	AJ
23	15	Control	346.099332753914	AJ
24	15	Control	390.666315606329	AJ
25	20	Control	406.244109822612	AJ
26	20	Control	246.996003388638	AJ
27	20	Control	625.668056674179	AJ
28	20	Control	523.005967675477	AJ
29	20	Control	329.279459448208	AJ
30	20	Control	688.072238160489	AJ
31	25	Control	563.969633221522	AJ
32	25	Control	455.739277551159	AJ
33	25	Control	634.268849156753	AJ
34	25	Control	631.720023129956	AJ
35	25	Control	623.237162245623	AJ
36	25	Control	603.296038115014	AJ
37	30	Control	583.087648030638	AJ
38	30	Control	490.713243413492	AJ
39	30	Control	454.105600439013	AJ
40	30	Control	442.929349848143	AJ
41	30	Control	395.793953161923	AJ
42	30	Control	468.81240829706	AJ
43	35	Control	310.19054726476	AJ
44	35	Control	825.343394800777	AJ
45	35	Control	681.194299745749	AJ
46	35	Control	331.533712519498	AJ
47	35	Control	439.567274705139	AJ
48	35	Control	430.001696956517	AJ
49	40	Control	616.994767750448	AJ
50	40	Control	487.494640029226	AJ
51	40	Control	537.997777099213	AJ
52	40	Control	495.717986697695	AJ
53	40	Control	493.569431406303	AJ
54	40	Control	705.290342602169	AJ
55	45	Control	466.13435215111	AJ
56	45	Control	727.470590664431	AJ
57	45	Control	267.687079365467	AJ
58	45	Control	587.69206244541	AJ
59	45	Control	518.578136576692	AJ
60	45	Control	532.391235311596	AJ
61	50	Control	556.945922413982	AJ
62	50	Control	424.651482033605	AJ
63	50	Control	450.018892449587	AJ
64	50	Control	347.213692533937	AJ
65	50	Control	339.231316028663	AJ
66	50	Control	545.529296210639	AJ
67	55	Control	567.231466794414	AJ
68	55	Control	507.950634009576	AJ
69	55	Control	638.340120181961	AJ
70	55	Control	807.512702844072	AJ
71	55	Control	426.34532509152	AJ
72	55	Control	153.624668653878	AJ
73	60	Control	650.860778669339	AJ
74	60	Control	393.619885612641	AJ
75	60	Control	396.798707529896	AJ
76	60	Control	653.835705454505	AJ
77	60	Control	457.284048942349	AJ
78	60	Control	316.89234316182	AJ
79	65	Control	527.195521962372	AJ
80	65	Control	479.166295634143	AJ
81	65	Control	500.864627884983	AJ
82	65	Control	557.79206016895	AJ
83	65	Control	444.400995231139	AJ
84	65	Control	596.656482277825	AJ
85	70	Control	466.927015727187	AJ
86	70	Control	549.767294587355	AJ
87	70	Control	664.525851972402	AJ
88	70	Control	565.27722362507	AJ
